LEGISLATIVE_DISTRICT,UNA,DEM,REP,CNV,CON,GRE,LIB,NAT,RFP,SSP,PARTY
1,"56,832","47,584","52,965",475,631,299,593,262,65,283,REP
2,"58,399","61,149","43,534",416,506,345,576,199,84,241,DEM
3,"58,474","57,390","41,186",514,444,310,691,170,45,233,DEM
4,"60,163","77,105","37,247",485,423,310,625,201,51,254,DEM
5,"59,177","75,237","26,512",517,569,369,556,214,72,284,DEM
6,"63,956","87,315","32,986",369,344,332,632,154,44,178,DEM
7,"58,079","80,714","38,637",396,391,299,559,167,41,228,DEM
8,"63,392","59,938","51,684",404,321,279,677,147,25,198,DEM
9,"73,377","46,730","70,287",538,491,419,731,194,45,235,REP
10,"69,932","43,457","65,241",505,514,380,731,168,50,230,REP
11,"63,269","55,316","39,736",369,429,351,583,217,43,194,DEM
12,"67,442","46,354","51,274",476,384,284,604,171,42,171,REP
13,"74,386","50,499","56,393",455,374,309,645,139,44,144,REP
14,"69,493","67,738","37,866",454,442,339,559,170,51,212,DEM
15,"53,472","73,283","20,031",498,523,325,457,238,40,289,DEM
16,"68,632","65,999","44,514",260,268,254,552,94,27,124,DEM
17,"58,590","70,819","18,119",375,423,282,447,183,48,239,DEM
18,"59,460","70,920","26,137",351,359,254,440,121,42,171,DEM
19,"60,854","69,040","22,878",511,585,333,562,237,61,273,DEM
20,"42,594","76,023","12,479",454,590,259,393,245,80,264,DEM
21,"66,455","59,939","48,411",228,201,218,461,84,20,95,DEM
22,"48,780","72,133","23,134",404,413,306,462,168,55,197,DEM
23,"61,978","49,004","61,046",381,355,286,767,129,28,136,REP
24,"59,069","40,518","70,648",510,373,409,864,169,39,165,REP
25,"60,881","54,279","57,063",325,271,275,619,131,27,143,REP
26,"65,311","49,748","61,674",333,297,276,599,112,25,135,REP
27,"67,129","82,983","38,706",173,163,162,374,56,27,98,DEM
28,"60,781","86,702","13,745",332,446,235,330,169,55,199,DEM
29,"52,189","67,880","9,137",367,458,205,274,164,70,206,DEM
30,"68,776","34,659","63,444",318,318,258,502,118,28,140,REP
31,"54,099","85,197","14,795",572,673,358,525,223,72,304,DEM
32,"42,160","71,131","16,002",379,368,260,483,162,71,171,DEM
33,"48,077","82,315","16,326",306,313,289,587,102,41,168,DEM
34,"53,459","89,134","14,653",379,349,282,363,208,48,216,DEM
35,"52,296","66,290","15,843",580,618,301,441,256,92,316,DEM
36,"55,285","56,454","25,286",415,376,304,482,170,45,160,DEM
37,"55,363","78,021","22,724",293,301,262,427,123,43,156,DEM
38,"66,063","62,412","37,105",372,380,262,470,132,46,147,DEM
39,"72,087","54,143","52,510",274,244,235,493,77,28,92,DEM
40,"66,134","51,594","56,254",333,235,221,466,93,19,133,REP
,,,,,,,,,,,
